uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
fbf20949-4445-4db0-ab53-b63c453ee432,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,31_400,2017-05-01,2017-05-01,2017,400,317,79.25,,20240104T224934Z,RELEASE-2024
9e0d59eb-3d61-4af0-bea6-114f8b50e20f,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,31_400,2017-05-01,2017-05-01,2017,400,400,100,,20240104T224934Z,RELEASE-2024
5bf2bde7-c8e0-4b75-aa0f-6a8760d91018,CLBJ_020.basePlot.ltr,D11,CLBJ,CLBJ_020,31_400,2017-05-01,2017-05-01,2017,400,0,0,,20240104T224934Z,RELEASE-2024
e4cc2515-e722-4704-9a57-a2e07db666c4,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,31_400,2017-05-01,2017-05-01,2017,400,326,81.5,,20240104T224934Z,RELEASE-2024
c27c21cc-bc52-4047-a736-0c3d8dd4ad6a,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,31_400,2017-05-01,2017-05-01,2017,400,191,47.75,,20240104T224934Z,RELEASE-2024
f3c925a0-b64e-43d9-b61c-cb1cd7c0a5f0,CLBJ_001.basePlot.ltr,D11,CLBJ,CLBJ_001,31_400,2017-05-01,2017-05-01,2017,400,8,2,,20240104T224934Z,RELEASE-2024
3982738c-d78e-4a02-bf5b-44b789da440b,CLBJ_013.basePlot.ltr,D11,CLBJ,CLBJ_013,31_400,2017-05-01,2017-05-01,2017,400,0,0,,20240104T224934Z,RELEASE-2024
13546525-aaeb-450c-9fa9-2e9f46ea0c4d,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,31_400,2017-05-01,2017-05-01,2017,400,285,71.25,,20240104T224934Z,RELEASE-2024
f441719b-0522-4602-9d05-910155c8d407,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,31_400,2017-05-01,2017-05-01,2017,400,234,58.5,,20240104T224934Z,RELEASE-2024
c6cf52c0-b36e-4c7f-911e-975bc644bfbb,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,31_400,2017-05-01,2017-05-01,2017,400,22,5.5,,20240104T224934Z,RELEASE-2024
